
 TO   |     106466 |           
 TR   |   62484478 |  138636892
 TT   |    1272385 |           
 TUCA |      22942 |           
 TUV  |      10146 |           
 UA   |   50864009 |  238734937
 UAE  |    3057337 |   21595606
 USA  |  266476278 |  124593133
 UZB  |   23418381 |   54175903
 V    |        840 |   57460274
 VIRG |      97120 |           
 VN   |   73976973 | 1225841946
 VU   |     177504 |           
 WAFU |      15289 |           
 WAG  |    1204984 |    9092749
 WAL  |    4793121 |    9521770
 WAN  |  103912489 |   36060932
 WD   |      82926 |           
 WEST |    1427741 |    9634147
 WG   |      94961 |           
 WL   |     157862 |           
 WS   |     214384 |           
 WSA  |     222631 |   61298236
 WV   |     118344 |           
 XMAS |       1402 |           
 YE   |   13483178 |   21595606
 YV   |   21983188 |  200186466
 Z    |    9159072 |  126179236
 ZRE  |   46498539 |  118864843
 ZW   |   11271314 |   70258088
